,Fitness,all,run
0,0.0,0.0,1
100,0.0,0.0,1
200,0.0,0.0,1
300,0.0,0.0,1
400,0.0,0.0,1
500,0.0,0.0,1
600,0.0,0.0,1
700,0.0,0.0,1
800,0.0,0.0,1
900,0.0,0.0,1
1000,0.0,0.0,1
1100,0.0,0.0,1
1201,0.0,0.0,1
1324,0.0,0.0,1
1400,0.0,0.0,1
1500,0.0,0.0,1
1600,0.0,0.0,1
1757,0.30103,0.30103,1
1805,0.4771213,0.4771213,1
1902,0.4771213,0.4771213,1
2078,0.60206,0.60206,1
2135,0.60206,0.60206,1
2201,0.60206,0.60206,1
2319,0.60206,0.60206,1
2498,0.69897,0.69897,1
2528,0.69897,0.69897,1
2637,0.69897,0.69897,1
2702,0.69897,0.69897,1
2803,0.69897,0.69897,1
2937,0.7781513,0.7781513,1
3015,0.7781513,0.7781513,1
3111,0.69897,0.69897,1
3203,0.69897,0.69897,1
3314,0.69897,0.69897,1
3405,0.69897,0.69897,1
3506,0.69897,0.69897,1
3601,0.69897,0.69897,1
3701,0.69897,0.69897,1
3802,0.69897,0.69897,1
3900,0.69897,0.69897,1
4002,0.69897,0.69897,1
4101,0.69897,0.69897,1
4200,0.7781513,0.7781513,1
4337,0.7781513,0.7781513,1
4420,0.7781513,0.7781513,1
4534,0.7781513,0.7781513,1
4658,0.7781513,0.7781513,1
4700,0.7781513,0.7781513,1
4808,0.7781513,0.7781513,1
4905,0.7781513,0.7781513,1
5000,0.7781513,0.7781513,1
5113,0.7781513,0.7781513,1
5201,0.7781513,0.7781513,1
5309,0.7781513,0.7781513,1
5401,0.7781513,0.7781513,1
5500,0.7781513,0.7781513,1
5605,0.7781513,0.7781513,1
5703,0.7781513,0.7781513,1
5804,0.7781513,0.7781513,1
5907,0.7781513,0.7781513,1
6003,0.7781513,0.7781513,1
6104,0.7781513,0.7781513,1
6211,0.7781513,0.7781513,1
6301,0.7781513,0.7781513,1
6404,0.7781513,0.7781513,1
6508,0.7781513,0.7781513,1
6601,0.7781513,0.7781513,1
6701,0.7781513,0.7781513,1
6803,0.7781513,0.7781513,1
6906,0.7781513,0.7781513,1
7002,0.7781513,0.7781513,1
7101,0.7781513,0.7781513,1
7201,0.7781513,0.7781513,1
7300,0.7781513,0.7781513,1
7401,0.7781513,0.7781513,1
7501,0.7781513,0.7781513,1
7600,0.7781513,0.7781513,1
7702,0.7781513,0.7781513,1
7800,0.7781513,0.7781513,1
7900,0.7781513,0.7781513,1
8002,0.7781513,0.7781513,1
8100,0.7781513,0.7781513,1
8202,0.7781513,0.7781513,1
8303,0.7781513,0.7781513,1
8401,0.7781513,0.7781513,1
8500,0.7781513,0.7781513,1
8600,0.7781513,0.7781513,1
8700,0.7781513,0.7781513,1
8802,0.7781513,0.7781513,1
8900,0.7781513,0.7781513,1
9000,0.7781513,0.7781513,1
9100,0.7781513,0.7781513,1
9200,0.7781513,0.7781513,1
9302,0.7781513,0.7781513,1
9402,0.7781513,0.7781513,1
9506,0.7781513,0.7781513,1
9600,0.7781513,0.7781513,1
9701,0.7781513,0.7781513,1
9801,0.7781513,0.7781513,1
9901,0.7781513,0.7781513,1
10002,0.7781513,0.7781513,1
0,0.0,0.0,2
100,0.0,0.0,2
201,0.0,0.0,2
300,-1.0,-1.0,2
453,0.0,0.0,2
522,0.0,0.0,2
644,0.30103,0.30103,2
774,0.30103,0.30103,2
828,0.0,0.0,2
910,0.0,0.0,2
1002,0.0,0.0,2
1112,0.0,0.0,2
1222,0.0,0.0,2
1307,0.0,0.0,2
1400,-1.0,-1.0,2
1500,-1.0,-1.0,2
1600,-1.0,-1.0,2
1737,0.30103,0.30103,2
1800,0.0,0.0,2
1900,0.0,0.0,2
2000,0.0,0.0,2
2100,0.0,0.0,2
2200,0.0,0.0,2
2300,0.0,0.0,2
2463,0.30103,0.30103,2
2500,0.30103,0.30103,2
2600,0.30103,0.30103,2
2700,0.30103,0.30103,2
2844,0.4771213,0.4771213,2
